```json
{
  "questoes": [
    {
      "Competencia Avaliada": "Localizar informação em texto de nível 1, recuperando-a por meio de paráfrase do modo como se apresenta no texto",
      "Comando 1": "Leia o texto.",
      "texto_suporte": "**Jogo da Queimada**\n\n**O que precisa?**\n- 2 times com pelo menos 3 pessoas cada.\n- Uma bola de borracha.\n- Um espaço aberto com uma linha divisória no meio.\n\n**Como é a brincadeira?**\n1. Cada time fica de um lado da linha divisória.\n2. O objetivo é acertar os jogadores adversários com a bola.\n3. Se um jogador for acertado, ele está fora da partida.\n4. Se a bola for pega no ar pelo adversário, quem arremessou está fora.\n5. A brincadeira termina quando todos os jogadores de um time estiverem fora.\n6. O time com jogadores ainda no jogo é o vencedor.",
      "pergunta": "De acordo com esse texto, a brincadeira termina quando",
      "opcoes": {
        "a": "um time conseguir pegar a bola no ar.",
        "b": "todos os jogadores de um time estiverem fora.",
        "c": "um jogador for acertado pela bola.",
        "d": "a bola tocar na linha divisória."
      },
      "resposta_correta": "b",
      "justificativas": {
        "a": "INCORRETA \nOs estudantes que assinalaram esta alternativa de resposta não conseguiram recuperar a informação solicitada pelo comando. Nesse caso, se guiaram por uma das ações possíveis durante a brincadeira, mas não representativa do seu final, desconsiderando a estrutura do gênero em assinalar o passo a passo da brincadeira.",
        "b": "GABARITO \nOs estudantes que assinalaram esta alternativa conseguiram localizar corretamente a informação solicitada pelo item. Observaram o passo que representa o objetivo final da brincadeira, retomado por meio de uma paráfrase presente no comando e no gabarito – “a brincadeira termina”/ “a brincadeira termina” e “todos os jogadores de um time estiverem fora”/ “todos os jogadores de um time estiverem fora”.",
        "c": "INCORRETA \nOs estudantes que assinalaram esta alternativa de resposta compreenderam que ser acertado pela bola representa o final da brincadeira. Nesse caso, se guiaram por uma das ações durante o desenvolvimento da brincadeira, mas não representativa do seu final, desconsiderando a estrutura do gênero em assinalar o passo a passo da brincadeira.",
        "d": "INCORRETA \nOs estudantes que optaram por essa alternativa reconhecem uma ação possível durante a brincadeira como sendo o seu final. Em que pese mobilizarem uma informação possível no texto, não responderam corretamente ao que foi solicitado no comando do item."
      }
    },
    {
