Código Classe,Modelo,Item (id),Dificil,Suporte,One-Shot,CoT + EP,Critério de Exclusão,Aceito,Selecionado,Motivação da escolha,Observação
LP-D22-3EF-CL02,DeepSeek,1,FALSE,FALSE,FALSE,FALSE,R6,FALSE,FALSE,,"Distrator discrepante, foge do padrão de resposta e não possue relação com o comando"
LP-D22-3EF-CL02,DeepSeek,2,FALSE,FALSE,FALSE,FALSE,R6,FALSE,FALSE,,"Distrator discrepante, foge do padrão de resposta"
LP-D22-3EF-CL02,DeepSeek,3,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,,"O item está bom, apenas um distrator quetionavel"
LP-D22-3EF-CL02,DeepSeek,4,FALSE,FALSE,FALSE,FALSE,R5,FALSE,FALSE,,Gabarito está incompleto
LP-D22-3EF-CL02,DeepSeek,5,FALSE,FALSE,FALSE,FALSE,,TRUE,TRUE,,O item está bom
LP-D22-3EF-CL02,DeepSeek,1,FALSE,FALSE,FALSE,TRUE,R4,FALSE,FALSE,,"Comando 2 não está bom, marca de tempo ""ontem"". "
LP-D22-3EF-CL02,DeepSeek,2,FALSE,FALSE,FALSE,TRUE,R6,FALSE,FALSE,,"Distrator semanticalmente incorreto, presença do termo ""Ja que""."
LP-D22-3EF-CL02,DeepSeek,3,FALSE,FALSE,FALSE,TRUE,R6,FALSE,FALSE,,"Distrator semanticalmente incorreto, presença do termo ""Ja que""."
LP-D22-3EF-CL02,DeepSeek,4,FALSE,FALSE,FALSE,TRUE,R6,FALSE,FALSE,,"Distrator semanticalmente incorreto, presença do termo ""Ja que""."
LP-D22-3EF-CL02,DeepSeek,5,FALSE,FALSE,FALSE,TRUE,R6,FALSE,FALSE,,"DIstrator semanticalmente incorreto, presença do termo ""Ja que""."
LP-D22-3EF-CL02,DeepSeek,1,FALSE,FALSE,TRUE,FALSE,R6,FALSE,FALSE,,O item estava muito bom mas um distrator não faz sentido
LP-D22-3EF-CL02,DeepSeek,2,FALSE,FALSE,TRUE,FALSE,R6,FALSE,FALSE,,Distrator que não faz sentido
